nomeEmpresa;nomePregao;titulo;texto;polaridade
NATURA COSMETICOS S.A; NATURA; natura ve recuperacao vendas brasil apos ritmo fraco tr; empresa cosmeticos natura enxerga segundo semestre melhor produtos brasil apos ter visto expressiva desaceleracao vendas segundo trimestre lucro liquido recuou sobre igual periodo ano passado acreditamos trimestre incomum muitos desses fatores nao repetirao afirmou vicepresidente financeiro companhia roberto pedote citando menor quantidade dias uteis custos pressionados desvalorizacao cambial baixo volume vendas trimestre vendas liquidas brasil principal mercado avancaram apenas sobre ano antes natura viu lucro liquido recuar r milhoes geracao caixa medida ebitda sigla ingles lucro antes juros impostos depreciacao amortizacao vez somou r milhoes recuo sobre igual trimestre ano passado cifras ficaram abaixo estimativas analistas projetavam media lucro liquido r milhoes ebitda r milhoes pesquisa reuters divulgacao lucro liquido natura despenca segundo trimestre restricao credito teleconferencia jornalistas nesta quartafeira executivo afirmou companhia tambem viu piora inadimplencia segundo trimestre investindo acoes cobranca minimizar impacto gente visto pessoal precisando fazer escolhas pagar dificil comentou executivo diante cenario macroeconomico curto prazo visto desafiador natura ira restringir oferta credito clientes perfil atrasando pagamento disse pedote completando companhia tambem intensificando acoes cobranca apos novo aumento precos julho sequencia ajuste praticado marco expectativa maior equilibrio lucratividade metade restante ano disse vicepresidente financeiro natura perguntado sobre expectativa divulgada anteriormente manutencao margem bruta nivel semelhante observado executivo limitou dizer natura preve recuperacao segundo semestre patamares parecidos igual etapa ano passado nao efeito tao perverso crescimento baixo brasil prejudicou bastante diluicao custos producao afirmou abril junho margem bruta consolidada companhia caiu pontos percentuais comparacao anual brasil apenas queda pontos percentuais novas acoes julho natura expandiu funcionamento plataforma digital rede natura todo estado sao paulo consultoras desenvolvem paginas proprias admitem pagamento cartao credito segundo pedote sera primeiro passo rumo expansao iniciativa restante pais tambem revelou lojas brasil asop marca comprada companhia fim ja endereco definido ambas serao instaladas segundo semestre capital paulista sendo rua oscar freire outra rua girassol vila madalena sao paul; -
EMBRAER S.A.; EMBRAER; embraer reverte prejuizo lucro r milhoes trimestr; embraer lucro liquido atribuido acionistas r milhoes segundo trimestre revertendo prejuizo r milhoes periodo resultado terceira maior fabricante aeronaves comerciais mundo tambem ganho frente trimestre anterior semestre lucro companhia ficou r milhoes ganho cerca sobre lucro r milhoes primeiro semestre receita liquida atingiu r trilhoes segundo trimestre alta frente periodo seis primeiros meses ano receita liquida ficou r bilhoes alta sobre mesmos seis meses ano passado aeronaves abril junho embraer entregou aeronaves comerciais executivas carteira pedidos firmes fechou trimestre us bilhoes segundo companhia semestre entregues aeronaves comerciais executivas jatos leves jatos grandes comparado aeronaves comerciais executivas jatos leves jatos grandes periodo ; +
BCO BRADESCO S.A.; BRADESCO; itau bradesco disparam valor merc; ja vale sao paulo itau unibanco bradesco sao empresas brasileiras maiores valorirzacoes mercado ano segundo levantamento consultoria economatica divulgado nesta quartafeira bancos ocupam posicao ranking analisou empresas america latina estados unidos janeiro abril desde ano valor mercado itau passou bilhoes dolares bilhoes dolares representa aumento bilhoes dolares ja bradesco variou bilhoes dolares passando bilhoes dolares bilhoes dolares periodo primeiro lugar ranking verizon comm empresa americana setor telecomunicacoes aumento bilhoes dolares valor mercado comeco ano empresa valia bilhoes dolares chegou bilhoes dolares estudo tambem analisou empresas perderam valor mercado janeiro ate abril brasileiras vale destaque negativo queda bilhoes dolares valor mercado valor mercado companhia passou bilhoes dolares bilhoes dolares empresa ocupa posicao ranking geral; +
BCO BRASIL S.A.;BRASIL;stj manda banco brasil pagar clientes perdas plano vera; segunda secao superior tribunal justica stj decidiu nesta quartafeira banco brasil deve pagar clientes todo pais diferenca referente perda gerada cadernetas poupanca causa plano verao janeiro nota banco informou decisao nao efeitos imediatos vai recorrer decisao tribunal analisava recurso banco sobre decisao justica data vara civel brasilia havia julgado acao civil publica ajuizada instituto brasileiro defesa consumidor idec naquele ano vara ja havia condenado banco pagar chamados expurgos inflacionarios ocorrem indices inflacionarios nao sao aplicados poupanca geram perda rendimento valores depositados banco brasil recorreu stj alegando sentenca deveria ter validade apenas contas poupancas abertas distrito federal somente poupadores associados idec autor acao legitimidade buscar cumprimento sentenca visao relator recurso stj ministro luis felipe salomao julgamento anterior havia definido decisao deveria contemplar todos poupadores mantinham conta banco brasil janeiro nao apenas residiam distrito federal vinculados idec voto relator seguido demais minitros assessoria imprensa banco brasil informou meio nota instituicao entrara recursos cabiveis contra decisao apos publicacao acordao decisao nao surtira efeitos imediatos pois devese aguardar publicacao acordao sobre bb interpora recursos cabiveis obter pronunciamento definitivo supremo tribunal federal diz nota stj nao informou valor banco tera pagar caso determinacao justica volte ser confirmada criado tentativa conter hiperinflacao plano verao assim outros criados inicio decada alteraram calculo correcao monetaria saldos poupanca quase mil processos sobre planos economicos estao tramitacao suspensa diversos tribunais desde espera decisao stf autores acoes argumentam perdas querem receber valores corrigidos base inflacao stf julgamento desta quarta stj diferente julgamento supremo tribunal federal stf suprema corte vai definir sobre validade planos economicos correcao monetaria valores cadernetas ocorreu dentro legalidade julgamento realizado fim marco adiado ainda nao ha nova data tribunal entender percentual utilizado planos correto muitos poupadores nao terao direito receber nada nesse caso stf podera avaliar fazer ja recebeu dinheiro bancos decisao outros tribunais hipotese supremo considerar indice utilizado irregular devera estipular sera feito pagamento correcao saldos poupancabco brasil sabrasilbanco brasil lucro liquido r bilhoes segundo trimestre banco brasil registrou lucro liquido r bilhoes segundo trimestre representando retorno sobre patrimonio liquido rspl exclusao itens extraordinarios lucro liquido ajustado subiu ante passando r bilhoes segundo trimestre r bilhoes neste ano superando previsoes mercado remuneracao acionistas atingiu r bilhao montante equivalente lucro liquido sendo r milhoes forma juros sobre capital proprio jcp r milhoes dividendos valor acao alcancou r trimestre lucro liquido ajustado atingiu r bilhoes rspl ajustado ativos banco brasil atingiram r trilhao junho deste ano crescimento meses relacao trimestre anterior favorecido principalmente expansao carteira credito banco lider ativos empresas setor financeiro america latina lideranca credito alta meses carteira credito ampliada inclui titulos valores mobiliarios tvm privados garantias prestadas atingiu r bilhoes junho crescimento meses relacao trimestre anterior destaques financiamento imobiliario credito agronegocio registraram incrementos meses respectivamente periodo banco manteve lideranca credito sistema financeiro nacional sfn participacao mercado credito imobiliario atinge r bilhoes credito imobiliario atingiu saldo r bilhoes junho deste ano expansao meses financiamento empresas cresceu ano atingindo saldo r bilhoes financiamento pessoas fisicas cresceu periodo alcancando saldo r bilhoes relacao variacao saldo carteira trimestre pessoas fisicas responderam r bilhoes enquanto empresas representaram r bilhao carteira agronegocio alcanca saldo r bi financiamento agronegocio encerrou segundo trimestre marca r bilhoes montante maior registrado periodo superior relacao primeiro trimestre safra banco brasil desembolsou r bilhoes operacoes credito rural evolucao relacao safra anterior volume representa total r bilhoes estipulado lancamento plano safra banco tambem mantem lideranca neste segmento atingindo participacao conforme dados sistema nacional credito rural destaques operacoes investimento atingiram saldo r bilhoes evolucao meses credito empresas evolucao meses saldo credito concedido empresas encerrou junho r bilhoes crescimento meses relacao trimestre anterior operacoes capital giro investimento representam total obtiveram crescimento meses respectivamente inadimplencia segue patamares bem abaixo sfn indices inadimplencia bb mantiveram patamares bem menores observados sistema financeiro nacional sfn fim junho indice operacoes vencidas ha dias representou carteira credito periodo sfn registrou indice qualidade carteira credito banco evidenciada concentracao operacoes faixa risco aac nivel cobertura carteira credito demonstra relacao provisao existente operacoes vencidas ha dias encerrou mes junho mantendose acima nivel apresentado merc; +
BCO BRASIL S.A.;BRASIL;lucro banco brasil cai trimestr; banco brasil encerrou segundo trimestre lucro liquido bilhoes reais queda cerca ante saldo positivo bilhoes reais registrados periodo ano passado resultado impulsionado bilionaria oferta publica inicial acoes ipo subsidiaria bb seguridade contudo excluir itens extraordinarios lucro liquido ajustado subiu passando bilhoes reais segundo trimestre bilhoes reais neste ano indice inadimplencia operacoes vencidas ha noventa dias ficou trimestre encerrado junho acima indicador janeiro marco igual periodo ano anterior provisoes perdas inadimplencia totalizaram bilhoes reais alta comparacao trimestral comparacao anual ja carteira credito encerrou junho bilhoes reais aumento ante marco doze meses carteira brasil somou bilhoes reais avanco comparacao anual comparando segundo trimestre receitas tarifas subiram bilhoes reais despesas pessoal outros gastos administrativos avancaram respectivamente periodo instituicao reduziu quadro funcionarios mil trabalhadores bb terminou primeiro semestre indice basileia mede capacidade financeira banco suportar riscos perdas abaixo acima final marco conselho administracao bb ainda aprovou distribuicao milhoes reais dividendos previsao crescimento bb mantevese estimativa receita tarifas recuou banco adotando estrategia fidelizacao clientes reducao operacoes mercado capit; +
BCO BRASIL S.A.;BRASIL;banco brasil lucro r; bi trimestresao paulo banco brasil encerrou segundo trimestre resultado acima esperado mercado apesar aumento taxa inadimplencia provisoes perdas calotes maior banco pais ativos tambem alterou algumas projecoes banco lucro liquido contabil bilhoes reais recuo sobre bilhoes registrados segundo trimestre ano passado resultado catapultado bilionaria oferta publica inicial acoes ipo bb seguridade porem termos recorrentes lucro liquido bb alta anual cento bilhoes reais ficando acima previsao media analistas consultados reuters bilhoes instituicao terminou trimestre passado indice inadimplencia operacoes vencidas ha dias cento acima cento tres primeiros meses cento vistos ano antes indicador futuro calotes mede operacoes vencidas ha dias tambem subiu comparacao anual passando cento carteira credito ampliada fechou junho bilhoes reais subindo cento meses cento sobre marco carteira brasil somou bilhoes reais crescimento anual cento previsao bb crescimento cento estimativa mantida instituicao apos resultado segundo trimestre porem bb reviu projecao comportamento margem financeira bruta elevada alta cento cento apos ter fechado primeiro semestre crescimento anual cento banco tambem melhorou projecao rentabilidade sobre patrimonio liquido rspl ajustado ano cento cento segundo trimestre linha terminou cento acima cento registrados ano antes estimativa rendas tarifas reduzida crescimento cento ano expansao cento diante estrategia fidelizacao relacionamento clientes reducao operacoes mercado capitais afirmou bb balanco trimestre passado receitas tarifas avancaram cento ante igual trimestre bilhoes reais despesas pessoal subiram cento outros gastos administrativos subiram cento periodo banco brasil reduziu quadro funcionarios mil trabalhadores provisoes perdas inadimplencia somaram bilhoes reais trimestre passado altas cento comparacao anual cento sobre tres primeiros meses bb terminou primeiro semestre indice basileia cento abaixo cento ano antes melhor cento final marco banco informou nesta quintafeira negociando ministerio fazenda adequacao instrumentos hibrido divida emitido final setembro capital principal conselho administracao bb aprovou distribuicao milhoes reais dividend; +
BCO BRASIL S.A.;BRASIL;banco brasil empresa ano revista dinheir; abril paulista aldemir bendine assumiu comando maior banco brasileiro missao parecia quase impossivel naquele momento crise economica global atingia apice retirando recursos sistema financeiro resposta bb crise divisor aguas manter credito enquanto mercado fechou torneiras banco deu primeiro salto mercado financiamentos ampliando participacao desde entao volume emprestimos nao parou crescer dobrando periodo passou r bilhoes r bilhoes junho deste ano bb ja detinha todos creditos mercado equivalente r bilhoes volume ativos dobrou saltando r bilhoes r trilhao ano passado ultimos anos bb manteve lideranca segmentos ja dominava agronegocio passou atuar novos mercados credito imobiliario expandiu atuacao mercado cartoes fez ainda maior abertura capital mundo captando r bilhoes ipo bb seguridade credenciais fizeram banco brasil ser escolhido empresa ano melhores dinheiro anuario melhores dinheiro premia tambem destaques gestao cinco categorias sustentabilidade financeira recursos humanos inovacao qualidade responsabilidade socioambiental governanca corporativa alem disso sao escolhidas campeas setor; +
GOL LINHAS AEREAS INTELIGENTES S.A.;GOL;analistas bofa mantem otimismo acao gol;analistas bank of america merrill lynch afirmaram continuam otimistas companhia aerea gol esperando bom terceiro trimestre empresa apos entrega resultados saudaveis primeira metade ano relatorio distribuido clientes nesta quartafeira bofa recomenda compra adr empresa precoalvo meses dolares citando serie razoes manutencao otimismo apesar recente valorizacao papeis fatores analistas liderados sara delfim apontaram melhor sazonalidade segundo semestre expectativa operacoes balanco empresa continuem melhorar periodo fato cambio preco petroleo estarem favoraveis momento alem disso citaram medidas empresa reduzir volatilidade custo combustivel momento forte passa smiles rede fidelidade gol gol acao arriscada devido exposicao cambio preco petroleo retorno compensa potencial alta cento limitado potencial baixa ja estimativas ja assumem dolar reais precos estaveis petroleo apesar recente queda escreveram h acao gol avancava cento bovespa reais diante variacao negativa cento ibovespa gol contratou bb securities bradesco bbi citigroup morgan stanley santander organizar teleconferencias investidores reunioes antes potencial oferta titulo denominado dolares segundo ifr servico thomson reuters; +
LOJAS HERING S.A.;LOJAS HERING;hering renova acordo beneficio fiscal estado goias ate ; hering informou renovou ate acordo capturar beneficios fiscais investimentos feitos goias estado abriga quatro dez fabricas empresa textil centro distribuicao segundo hering acordo visa assegurar manutencao captacao beneficios isencoes imposto renda contribuicao social sobre lucro liquido csll oferecidos estimulo implantacao expansao empreendimentos econom;+
LOJAS HERING S.A.;LOJAS HERING;cia hering queda ; lucro trimestrea cia hering queda anual lucro liquido segundo trimestre diante ambiente macroeconomico incerto calendario prejudicado copa afirmou ainda espera desafios restante ano lucro liquido companhia abril junho caiu r milhoes ante r milhoes periodo resultado afetado desempenho operacional fraco queda margem bruta aumento despesas disse cia hering receita liquida caiu ano ano encerrou junho r milhoes periodo marca hering representa maior parte vendas receita bruta brasil menor segundo trimestre afetada reducoes temporarias precos linha basicos alem promocoes pontuais artigos colecoes outono inverno cia hering ebitda sigla ingles lucro antes juros impostos depreciacao amortizacao r milhoes segundo trimestre queda anual apos primeiro semestre bastante desafiador acreditamos ambiente macroeconomico permanecera desfavoravel restante ano afirmou empresa balanco citando ainda clima regioes sul sudeste nao favoreceu venda artigos colecoes outono inverno passados efeitos negativos copa mundo implementacao diversas acoes previstas proximos trimestres estaremos melhor preparados lidar adversidades retomar trajetoria crescimento marcas disse empresa medidas estao melhoria sortimento produtos relancamento basicos longo terceiro trimestre hering marca principal novo plano negocios marca dzarmcom linha infantil companhia mantem plano expansao abertura lojas hering kids ano empresa tambem mantem plano abrir lojas hering store ;-
